twitter,domain,name,type
fcbarcelona_id,fcbarcelona.co.id,FC Barcelona ,sports
UNC_Basketball,goheels.com,Carolina Basketball,sports
PSV,psv.nl,PSV,sports
NBAcom,nba.com,NBA.com,sports
fifacom_de,de.fifa.com,FIFA.com auf deutsch,sports
ElNacionalLVBP,,El Nacional Béisbol,sports
Cloud9gg,cloud9.gg,Cloud9 G2A,sports
Rio2016_en,rio2016.com,Rio 2016,sports
BlueJacketsNHL,bluejackets.nhl.com,NHL Blue Jackets,sports
Caracas_FC,caracasfutbolclub.com,Caracas Fútbol Club,sports
Jaguars,jaguars.com,Jacksonville Jaguars,sports
officialgaa,gaa.ie,The GAA,sports
fifaworldcup_de,de.fifa.com,FIFA WM,sports
WelshRugbyUnion,wru.wales,Welsh Rugby Union,sports
Uruguay,auf.org.uy,Selección Uruguaya,sports
FCBhandbol,,FCB Handbol,sports
JRMotorsports,jrmracing.com,JR Motorsports,sports
HockeyCanada,HockeyCanada.ca,Hockey Canada,sports
FIFAar,fifa.com,FIFA أخبار,sports
EvilGeniuses,evilgeniuses.gg,Evil Geniuses,sports
SCBastia,sc-bastia.corsica,SC Bastia,sports
Belgianfootball,belgianfootball.be,Belgian Football,sports
HSV,hsv.de,Hamburger SV,sports
Movistar_Team,movistarteam.com,Movistar Team,sports
FuerzaMonarca,fuerzamonarca.com,Monarcas Morelia,sports
Formula1,formula1.com,Formula1.com,sports
fia,fia.com,FIA,sports
Dbacks,dbacks.com,Arizona Diamondbacks,sports
Feneristcom,fenerist.com,Fenerist •,sports
AUFOficial,auf.org.uy,AUF,sports
TigersDreamlink,hanshintigers.jp,阪神タイガース,sports
SantaFe,independientesantafe.co,Ind. Santa Fe,sports
dakar,dakar.com,DAKAR RALLY,sports
Huskers,huskers.com,Nebraska Huskers,sports
LCFC,lcfc.com,Leicester City,sports
SanLorenzo,sanlorenzo.com.ar,San Lorenzo,sports
RVMOficial,rayovallecano.es,Rayo Vallecano,sports
KentuckyMBB,ukathletics.com,Kentucky Basketball,sports
PredsNHL,nashvillepredators.com,Nashville Predators,sports
spfc,,São Paulo FC,sports
TigresdelLicey,licey.com,Tigres del Licey,sports
AZCardinals,azcardinals.com,Arizona Cardinals,sports
aguilasdelzulia,aguilas.com,Aguilas del Zulia,sports
Vol_Football,utsports.com,Tennessee Football,sports
NYIslanders,newyorkislanders.com,New York Islanders,sports
HRC_MotoGP,,Repsol Honda Team,sports
torontofc,torontofc.ca,Toronto FC,sports
fifacom_fr,,FIFA.com en Français,sports
tpoint,tsite.jp,Tポイント,sports
FIFAWWC,fifa.to,"FIFA Women'sWorldCup",sports
BMWMotorsport,bmw-motorsport.com,BMW Motorsport,sports
BLACKCAPS,blackcaps.co.nz,BLACKCAPS,sports
Rockies,Rockies.com,Colorado Rockies,sports
HullCity,hullcitytigers.com,Hull City,sports
UBBrugby,ubbrugby.com,Union BordeauxBègles,sports
LFCTV,liverpoolfc.com,LFC TV,sports
werderbremen,werder.de,SV Werder Bremen,sports
clgaming,clgaming.net,Counter Logic Gaming,sports
OhioStAthletics,OhioStateBuckeyes.com,Ohio State Buckeyes,sports
NASCAR_XFINITY,nas.cr,NASCAR XFINITY,sports
